customer_id,item_id,item_display_name,predicted_rating
6,8,Babe (1995),3.5319
6,9,Dead Man Walking (1995),3.5319
6,10,Richard III (1995),3.5319
62,1,Toy Story (1995),3.5319
62,2,GoldenEye (1995),3.5319
62,3,Four Rooms (1995),3.5319
62,4,Get Shorty (1995),3.5319
62,5,Copycat (1995),3.5319
62,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
62,7,Twelve Monkeys (1995),3.5319
62,8,Babe (1995),3.5319
62,9,Dead Man Walking (1995),3.5319
62,10,Richard III (1995),3.5319
286,1,Toy Story (1995),3.5319
286,2,GoldenEye (1995),3.5319
286,3,Four Rooms (1995),3.5319
286,4,Get Shorty (1995),3.5319
286,5,Copycat (1995),3.5319
286,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
286,7,Twelve Monkeys (1995),3.5319
286,8,Babe (1995),3.5319
286,9,Dead Man Walking (1995),3.5319
286,10,Richard III (1995),3.5319
200,1,Toy Story (1995),3.5319
200,2,GoldenEye (1995),3.5319
200,3,Four Rooms (1995),3.5319
200,4,Get Shorty (1995),3.5319
200,5,Copycat (1995),3.5319
200,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
200,7,Twelve Monkeys (1995),3.5319
200,8,Babe (1995),3.5319
200,9,Dead Man Walking (1995),3.5319
200,10,Richard III (1995),3.5319
210,1,Toy Story (1995),3.5319
210,2,GoldenEye (1995),3.5319
210,3,Four Rooms (1995),3.5319
210,4,Get Shorty (1995),3.5319
210,5,Copycat (1995),3.5319
210,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
210,7,Twelve Monkeys (1995),3.5319
210,8,Babe (1995),3.5319
210,9,Dead Man Walking (1995),3.5319
210,10,Richard III (1995),3.5319
224,1,Toy Story (1995),3.5319
224,2,GoldenEye (1995),3.5319
224,3,Four Rooms (1995),3.5319
224,4,Get Shorty (1995),3.5319
224,5,Copycat (1995),3.5319
224,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
224,7,Twelve Monkeys (1995),3.5319
224,8,Babe (1995),3.5319
224,9,Dead Man Walking (1995),3.5319
224,10,Richard III (1995),3.5319
303,1,Toy Story (1995),3.5319
303,2,GoldenEye (1995),3.5319
303,3,Four Rooms (1995),3.5319
303,4,Get Shorty (1995),3.5319
303,5,Copycat (1995),3.5319
303,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
303,7,Twelve Monkeys (1995),3.5319
303,8,Babe (1995),3.5319
303,9,Dead Man Walking (1995),3.5319
303,10,Richard III (1995),3.5319
122,1,Toy Story (1995),3.5319
122,2,GoldenEye (1995),3.5319
122,3,Four Rooms (1995),3.5319
122,4,Get Shorty (1995),3.5319
122,5,Copycat (1995),3.5319
122,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
122,7,Twelve Monkeys (1995),3.5319
122,8,Babe (1995),3.5319
122,9,Dead Man Walking (1995),3.5319
122,10,Richard III (1995),3.5319
194,1,Toy Story (1995),3.5319
194,2,GoldenEye (1995),3.5319
194,3,Four Rooms (1995),3.5319
194,4,Get Shorty (1995),3.5319
194,5,Copycat (1995),3.5319
194,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
194,7,Twelve Monkeys (1995),3.5319
194,8,Babe (1995),3.5319
194,9,Dead Man Walking (1995),3.5319
194,10,Richard III (1995),3.5319
291,1,Toy Story (1995),3.5319
291,2,GoldenEye (1995),3.5319
291,3,Four Rooms (1995),3.5319
291,4,Get Shorty (1995),3.5319
291,5,Copycat (1995),3.5319
291,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
291,7,Twelve Monkeys (1995),3.5319
291,8,Babe (1995),3.5319
291,9,Dead Man Walking (1995),3.5319
291,10,Richard III (1995),3.5319
234,1,Toy Story (1995),3.5319
234,2,GoldenEye (1995),3.5319
234,3,Four Rooms (1995),3.5319
234,4,Get Shorty (1995),3.5319
234,5,Copycat (1995),3.5319
234,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
234,7,Twelve Monkeys (1995),3.5319
234,8,Babe (1995),3.5319
234,9,Dead Man Walking (1995),3.5319
234,10,Richard III (1995),3.5319
119,1,Toy Story (1995),3.5319
119,2,GoldenEye (1995),3.5319
119,3,Four Rooms (1995),3.5319
119,4,Get Shorty (1995),3.5319
119,5,Copycat (1995),3.5319
119,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
119,7,Twelve Monkeys (1995),3.5319
119,8,Babe (1995),3.5319
119,9,Dead Man Walking (1995),3.5319
119,10,Richard III (1995),3.5319
167,1,Toy Story (1995),3.5319
167,2,GoldenEye (1995),3.5319
167,3,Four Rooms (1995),3.5319
167,4,Get Shorty (1995),3.5319
167,5,Copycat (1995),3.5319
167,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
167,7,Twelve Monkeys (1995),3.5319
167,8,Babe (1995),3.5319
167,9,Dead Man Walking (1995),3.5319
167,10,Richard III (1995),3.5319
299,1,Toy Story (1995),3.5319
299,2,GoldenEye (1995),3.5319
299,3,Four Rooms (1995),3.5319
299,4,Get Shorty (1995),3.5319
299,5,Copycat (1995),3.5319
299,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
299,7,Twelve Monkeys (1995),3.5319
299,8,Babe (1995),3.5319
299,9,Dead Man Walking (1995),3.5319
299,10,Richard III (1995),3.5319
308,1,Toy Story (1995),3.5319
308,2,GoldenEye (1995),3.5319
308,3,Four Rooms (1995),3.5319
308,4,Get Shorty (1995),3.5319
308,5,Copycat (1995),3.5319
308,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
308,7,Twelve Monkeys (1995),3.5319
308,8,Babe (1995),3.5319
308,9,Dead Man Walking (1995),3.5319
308,10,Richard III (1995),3.5319
95,1,Toy Story (1995),3.5319
95,2,GoldenEye (1995),3.5319
95,3,Four Rooms (1995),3.5319
95,4,Get Shorty (1995),3.5319
95,5,Copycat (1995),3.5319
95,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
95,7,Twelve Monkeys (1995),3.5319
95,8,Babe (1995),3.5319
95,9,Dead Man Walking (1995),3.5319
95,10,Richard III (1995),3.5319
38,1,Toy Story (1995),3.5319
38,2,GoldenEye (1995),3.5319
38,3,Four Rooms (1995),3.5319
38,4,Get Shorty (1995),3.5319
38,5,Copycat (1995),3.5319
38,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
38,7,Twelve Monkeys (1995),3.5319
38,8,Babe (1995),3.5319
38,9,Dead Man Walking (1995),3.5319
38,10,Richard III (1995),3.5319
102,1,Toy Story (1995),3.5319
102,2,GoldenEye (1995),3.5319
102,3,Four Rooms (1995),3.5319
102,4,Get Shorty (1995),3.5319
102,5,Copycat (1995),3.5319
102,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
102,7,Twelve Monkeys (1995),3.5319
102,8,Babe (1995),3.5319
102,9,Dead Man Walking (1995),3.5319
102,10,Richard III (1995),3.5319
63,1,Toy Story (1995),3.5319
63,2,GoldenEye (1995),3.5319
63,3,Four Rooms (1995),3.5319
63,4,Get Shorty (1995),3.5319
63,5,Copycat (1995),3.5319
63,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
63,7,Twelve Monkeys (1995),3.5319
63,8,Babe (1995),3.5319
63,9,Dead Man Walking (1995),3.5319
63,10,Richard III (1995),3.5319
160,1,Toy Story (1995),3.5319
160,2,GoldenEye (1995),3.5319
160,3,Four Rooms (1995),3.5319
160,4,Get Shorty (1995),3.5319
160,5,Copycat (1995),3.5319
160,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
160,7,Twelve Monkeys (1995),3.5319
160,8,Babe (1995),3.5319
160,9,Dead Man Walking (1995),3.5319
160,10,Richard III (1995),3.5319
50,1,Toy Story (1995),3.5319
50,2,GoldenEye (1995),3.5319
50,3,Four Rooms (1995),3.5319
50,4,Get Shorty (1995),3.5319
50,5,Copycat (1995),3.5319
50,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
50,7,Twelve Monkeys (1995),3.5319
50,8,Babe (1995),3.5319
50,9,Dead Man Walking (1995),3.5319
50,10,Richard III (1995),3.5319
301,1,Toy Story (1995),3.5319
301,2,GoldenEye (1995),3.5319
301,3,Four Rooms (1995),3.5319
301,4,Get Shorty (1995),3.5319
301,5,Copycat (1995),3.5319
301,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
301,7,Twelve Monkeys (1995),3.5319
301,8,Babe (1995),3.5319
301,9,Dead Man Walking (1995),3.5319
301,10,Richard III (1995),3.5319
225,1,Toy Story (1995),3.5319
225,2,GoldenEye (1995),3.5319
225,3,Four Rooms (1995),3.5319
225,4,Get Shorty (1995),3.5319
225,5,Copycat (1995),3.5319
225,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
225,7,Twelve Monkeys (1995),3.5319
225,8,Babe (1995),3.5319
225,9,Dead Man Walking (1995),3.5319
225,10,Richard III (1995),3.5319
290,1,Toy Story (1995),3.5319
290,2,GoldenEye (1995),3.5319
290,3,Four Rooms (1995),3.5319
290,4,Get Shorty (1995),3.5319
290,5,Copycat (1995),3.5319
290,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
290,7,Twelve Monkeys (1995),3.5319
290,8,Babe (1995),3.5319
290,9,Dead Man Walking (1995),3.5319
290,10,Richard III (1995),3.5319
97,1,Toy Story (1995),3.5319
97,2,GoldenEye (1995),3.5319
97,3,Four Rooms (1995),3.5319
97,4,Get Shorty (1995),3.5319
97,5,Copycat (1995),3.5319
97,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
97,7,Twelve Monkeys (1995),3.5319
97,8,Babe (1995),3.5319
97,9,Dead Man Walking (1995),3.5319
97,10,Richard III (1995),3.5319
157,1,Toy Story (1995),3.5319
157,2,GoldenEye (1995),3.5319
157,3,Four Rooms (1995),3.5319
157,4,Get Shorty (1995),3.5319
157,5,Copycat (1995),3.5319
157,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
157,7,Twelve Monkeys (1995),3.5319
157,8,Babe (1995),3.5319
157,9,Dead Man Walking (1995),3.5319
157,10,Richard III (1995),3.5319
181,1,Toy Story (1995),3.5319
181,2,GoldenEye (1995),3.5319
181,3,Four Rooms (1995),3.5319
181,4,Get Shorty (1995),3.5319
181,5,Copycat (1995),3.5319
181,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
181,7,Twelve Monkeys (1995),3.5319
181,8,Babe (1995),3.5319
181,9,Dead Man Walking (1995),3.5319
181,10,Richard III (1995),3.5319
278,1,Toy Story (1995),3.5319
278,2,GoldenEye (1995),3.5319
278,3,Four Rooms (1995),3.5319
278,4,Get Shorty (1995),3.5319
278,5,Copycat (1995),3.5319
278,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
278,7,Twelve Monkeys (1995),3.5319
278,8,Babe (1995),3.5319
278,9,Dead Man Walking (1995),3.5319
278,10,Richard III (1995),3.5319
276,1,Toy Story (1995),3.5319
276,2,GoldenEye (1995),3.5319
276,3,Four Rooms (1995),3.5319
276,4,Get Shorty (1995),3.5319
276,5,Copycat (1995),3.5319
276,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
276,7,Twelve Monkeys (1995),3.5319
276,8,Babe (1995),3.5319
276,9,Dead Man Walking (1995),3.5319
276,10,Richard III (1995),3.5319
7,1,Toy Story (1995),3.5319
7,2,GoldenEye (1995),3.5319
7,3,Four Rooms (1995),3.5319
7,4,Get Shorty (1995),3.5319
7,5,Copycat (1995),3.5319
7,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
7,7,Twelve Monkeys (1995),3.5319
7,8,Babe (1995),3.5319
7,9,Dead Man Walking (1995),3.5319
7,10,Richard III (1995),3.5319
10,1,Toy Story (1995),3.5319
10,2,GoldenEye (1995),3.5319
10,3,Four Rooms (1995),3.5319
10,4,Get Shorty (1995),3.5319
10,5,Copycat (1995),3.5319
10,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
10,7,Twelve Monkeys (1995),3.5319
10,8,Babe (1995),3.5319
10,9,Dead Man Walking (1995),3.5319
10,10,Richard III (1995),3.5319
284,1,Toy Story (1995),3.5319
284,2,GoldenEye (1995),3.5319
284,3,Four Rooms (1995),3.5319
284,4,Get Shorty (1995),3.5319
284,5,Copycat (1995),3.5319
284,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
284,7,Twelve Monkeys (1995),3.5319
284,8,Babe (1995),3.5319
284,9,Dead Man Walking (1995),3.5319
284,10,Richard III (1995),3.5319
201,1,Toy Story (1995),3.5319
201,2,GoldenEye (1995),3.5319
201,3,Four Rooms (1995),3.5319
201,4,Get Shorty (1995),3.5319
201,5,Copycat (1995),3.5319
201,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
201,7,Twelve Monkeys (1995),3.5319
201,8,Babe (1995),3.5319
201,9,Dead Man Walking (1995),3.5319
201,10,Richard III (1995),3.5319
287,1,Toy Story (1995),3.5319
287,2,GoldenEye (1995),3.5319
287,3,Four Rooms (1995),3.5319
287,4,Get Shorty (1995),3.5319
287,5,Copycat (1995),3.5319
287,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
287,7,Twelve Monkeys (1995),3.5319
287,8,Babe (1995),3.5319
287,9,Dead Man Walking (1995),3.5319
287,10,Richard III (1995),3.5319
246,1,Toy Story (1995),3.5319
246,2,GoldenEye (1995),3.5319
246,3,Four Rooms (1995),3.5319
246,4,Get Shorty (1995),3.5319
246,5,Copycat (1995),3.5319
246,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
246,7,Twelve Monkeys (1995),3.5319
246,8,Babe (1995),3.5319
246,9,Dead Man Walking (1995),3.5319
246,10,Richard III (1995),3.5319
242,1,Toy Story (1995),3.5319
242,2,GoldenEye (1995),3.5319
242,3,Four Rooms (1995),3.5319
242,4,Get Shorty (1995),3.5319
242,5,Copycat (1995),3.5319
242,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
242,7,Twelve Monkeys (1995),3.5319
242,8,Babe (1995),3.5319
242,9,Dead Man Walking (1995),3.5319
242,10,Richard III (1995),3.5319
249,1,Toy Story (1995),3.5319
249,2,GoldenEye (1995),3.5319
249,3,Four Rooms (1995),3.5319
249,4,Get Shorty (1995),3.5319
249,5,Copycat (1995),3.5319
249,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
249,7,Twelve Monkeys (1995),3.5319
249,8,Babe (1995),3.5319
249,9,Dead Man Walking (1995),3.5319
249,10,Richard III (1995),3.5319
99,1,Toy Story (1995),3.5319
99,2,GoldenEye (1995),3.5319
99,3,Four Rooms (1995),3.5319
99,4,Get Shorty (1995),3.5319
99,5,Copycat (1995),3.5319
99,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
99,7,Twelve Monkeys (1995),3.5319
99,8,Babe (1995),3.5319
99,9,Dead Man Walking (1995),3.5319
99,10,Richard III (1995),3.5319
178,1,Toy Story (1995),3.5319
178,2,GoldenEye (1995),3.5319
178,3,Four Rooms (1995),3.5319
178,4,Get Shorty (1995),3.5319
178,5,Copycat (1995),3.5319
178,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
178,7,Twelve Monkeys (1995),3.5319
178,8,Babe (1995),3.5319
178,9,Dead Man Walking (1995),3.5319
178,10,Richard III (1995),3.5319
251,1,Toy Story (1995),3.5319
251,2,GoldenEye (1995),3.5319
251,3,Four Rooms (1995),3.5319
251,4,Get Shorty (1995),3.5319
251,5,Copycat (1995),3.5319
251,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
251,7,Twelve Monkeys (1995),3.5319
251,8,Babe (1995),3.5319
251,9,Dead Man Walking (1995),3.5319
251,10,Richard III (1995),3.5319
81,1,Toy Story (1995),3.5319
81,2,GoldenEye (1995),3.5319
81,3,Four Rooms (1995),3.5319
81,4,Get Shorty (1995),3.5319
81,5,Copycat (1995),3.5319
81,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
81,7,Twelve Monkeys (1995),3.5319
81,8,Babe (1995),3.5319
81,9,Dead Man Walking (1995),3.5319
81,10,Richard III (1995),3.5319
